招生年份 招生批次 招生院校 专业组 科目要求 专业 计划数 录取数 最高分 最高分位次 最低分 最低分位次 平均分 平均分位次 省市
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 05-工科试验班 14 16 520 14532 483 23814 491 21744 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 06-工科试验班 2 0       天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 07-信息与计算科学 3 2 472 26492 466 28028 469 27273 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 08-应用气象学 6 6 493 21226 472 26492 481 24337 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 09-统计学 5 4 468 27525 464 28519 467 27778 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 10-材料物理 1 1 469 27273 469 27273 469 27273 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 11-材料化学 1 1 473 26270 473 26270 473 26270 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 12-信息安全 5 4 480 24562 467 27778 471 26748 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 13-土木工程 2 2 468 27525 465 28294 467 27778 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 14-油气储运工程 1 1 468 27525 468 27525 468 27525 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 15-交通工程 4 4 476 25541 464 28519 470 26996 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 16-飞行器质量与可靠性 2 2 464 28519 464 28519 464 28519 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 17-飞行器适航技术 1 1 505 18290 505 18290 505 18290 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 18-无人驾驶航空器系统工程 3 3 481 24337 469 27273 477 25299 天津
2024 本科普通批 中国民航大学 25301-中国民航 物理和化学 19-飞行器运维工程 4 4 483 23814 465 28294 470 26996 天津
2025 本科普通批 南京信息工程大学 43801-南京信息 物理和化学 01-大气科学类 4 4 566 6814 558 8579 562 7663 江苏
2025 本科普通批 南京信息工程大学 43801-南京信息 物理和化学 02-电子信息工程 2 2 552 10002 551 10254 552 10002 江苏
2024 本科普通批 南京信息工程大学 43801-南京信息 物理和化学 01-大气科学类 4 4 555 6832 545 8758 550 7798 江苏
2025 本科普通批 杭州电子科技大学 49202-杭州电子 物理 06-数字经济 2 2 549 10761 544 12020 547 11283 浙江
2025 本科普通批 杭州电子科技大学 49203-杭州电子 物理和化学 07-工业设计 3 3 552 10002 550 10506 551 10254 浙江
2025 本科普通批 杭州电子科技大学 49203-杭州电子 物理和化学 08-材料科学与工程 2 2 550 10506 550 10506 550 10506 浙江
2025 本科普通批 杭州电子科技大学 49203-杭州电子 物理和化学 09-电子信息类(通信学院) 3 3 551 10254 550 10506 551 10254 浙江
2025 本科普通批 杭州电子科技大学 49203-杭州电子 物理和化学 10-计算机科学与技术 3 3 554 9550 553 9779 554 9550 浙江
2024 本科普通批 杭州电子科技大学 49201-杭州电子 物理和化学 01-工业设计 3 3 541 9624 539 10069 540 9848 浙江
2024 本科普通批 杭州电子科技大学 49201-杭州电子 物理和化学 02-材料科学与工程 2 2 541 9624 540 9848 541 9624 浙江
2024 本科普通批 杭州电子科技大学 49201-杭州电子 物理和化学 03-电子信息类 3 3 545 8758 543 9186 544 8973 浙江
2024 本科普通批 杭州电子科技大学 49201-杭州电子 物理和化学 04-计算机类 3 3 548 8178 544 8973 546 8561 浙江
2025 本科普通批 福州大学 56302-福州大学 物理和化学 04-智能电网信息工程 3 3 551 10254 551 10254 551 10254 福建
2025 本科普通批 福州大学 56302-福州大学 物理和化学 05-电子信息类 4 4 558 8579 551 10254 554 9550 福建
2025 本科普通批 福州大学 56302-福州大学 物理和化学 06-人工智能 3 3 551 10254 551 10254 551 10254 福建
2025 本科普通批 福州大学 56302-福州大学 物理和化学 07-软件工程 4 4 555 9302 551 10254 552 10002 福建
2024 本科普通批 福州大学 56301-福州大学 物理和化学 01-机械设计制造及其自动化 4 4 542 9417 541 9624 541 9624 福建
2024 本科普通批 福州大学 56301-福州大学 物理和化学 02-智能电网信息工程 3 3 543 9186 542 9417 543 9186 福建
2024 本科普通批 福州大学 56301-福州大学 物理和化学 03-电子信息类 3 3 547 8372 545 8758 546 8561 福建
2024 本科普通批 福州大学 56301-福州大学 物理和化学 04-人工智能 3 3 544 8973 542 9417 543 9186 福建
2024 本科普通批 福州大学 56301-福州大学 物理和化学 05-软件工程 4 4 544 8973 542 9417 543 9186 福建
2025 本科普通批 东华大学 10601-东华大学 物理和化学 01-理科试验班 10 10 565 7040 557 8824 560 8117 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 02-数据科学与大数据技术 5 5 563 7447 557 8824 559 8336 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 03-人工智能 11 11 563 7447 557 8824 559 8336 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 04-电子信息类 53 53 562 7663 554 9550 555 9302 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 05-计算机类 35 35 564 7257 555 9302 558 8579 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 06-智能科学与技术 5 5 562 7663 554 9550 557 8824 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 07-数学类(智能科学方向) 21 21 558 8579 553 9779 554 9550 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 08-物理学类(集成电路与新能源) 13 13 558 8579 554 9550 555 9302 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 09-工业设计 13 13 555 9302 553 9779 554 9550 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 10-智能制造工程 10 10 558 8579 553 9779 554 9550 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 11-机械工程 13 14 559 8336 553 9779 554 9550 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 12-环境科学与工程类(能源方向) 6 6 553 9779 553 9779 553 9779 上海
2025 本科普通批 东华大学 10601-东华大学 物理和化学 13-管理科学与工程类 12 12 554 9550 553 9779 553 9779 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 14-理科试验班 8 8 560 8117 554 9550 556 9039 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 15-生物工程(生物医药方向) 6 6 555 9302 553 9779 554 9550 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 16-生物医学工程 4 4 560 8117 553 9779 556 9039 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 17-纺织类(智能纺织与设计) 3 3 560 8117 554 9550 557 8824 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 18-服装设计与工程 7 7 559 8336 553 9779 554 9550 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 19-纺织工程(双学士学位) 10 10 571 5815 553 9779 556 9039 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 20-化学类 3 3 554 9550 553 9779 554 9550 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 21-材料类 20 20 568 6379 554 9550 557 8824 上海
2025 本科普通批 东华大学 10602-东华大学 物理和化学 22-功能材料 8 8 561 7891 553 9779 556 9039 上海
2024 本科普通批 东华大学 10601-东华大学 物理和化学 01-生物工程 6 6 547 8372 545 8758 546 8561 上海
2024 本科普通批 东华大学 10601-东华大学 物理和化学 02-服装设计与工程 11 11 548 8178 543 9186 545 8758 上海
2024 本科普通批 东华大学 10601-东华大学 物理和化学 03-纺织类 4 4 548 8178 544 8973 546 8561 上海
2024 本科普通批 东华大学 10601-东华大学 物理和化学 04-纺织工程 6 6 551 7592 546 8561 548 8178 上海
2024 本科普通批 东华大学 10601-东华大学 物理和化学 05-化学类 3 3 545 8758 544 8973 544 8973 上海
2024 本科普通批 东华大学 10601-东华大学 物理和化学 06-功能材料 8 8 550 7798 545 8758 547 8372 上海
2024 本科普通批 东华大学 10601-东华大学 物理和化学 07-材料类 15 15 554 7021 546 8561 549 7975 上海
2024 本科普通批 东华大学 10601-东华大学 物理和化学 08-理科试验班 9 9 567 4662 544 8973 549 7975 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 15-管理科学与工程类 16 16 549 7975 545 8758 547 8372 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 16-物理学类 8 8 556 6631 547 8372 549 7975 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 17-机械工程 7 7 554 7021 546 8561 548 8178 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 18-智能制造工程 7 7 548 8178 546 8561 547 8372 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 19-能源与环境系统工程 3 3 548 8178 546 8561 547 8372 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 20-电子信息类 39 40 556 6631 547 8372 549 7975 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 21-计算机类 23 23 556 6631 551 7592 553 7218 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 22-智能科学与技术 3 3 551 7592 550 7798 550 7798 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 23-数据科学与大数据技术 2 2 554 7021 553 7218 554 7021 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 24-建筑环境与能源应用工程 6 6 546 8561 545 8758 546 8561 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 25-数学类 19 19 556 6631 546 8561 549 7975 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 26-理科试验班类 11 11 555 6832 549 7975 551 7592 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 27-人工智能 8 8 553 7218 549 7975 551 7592 上海
2024 本科普通批 东华大学 10603-东华大学 物理和化学 28-工业设计 17 17 554 7021 545 8758 546 8561 上海
2025 本科提前批 国际关系学院 05602-国际关系 物理和化学 04-人工智能 2 2 543 12291 534 14696 539 13322 北京
2025 本科提前批 国际关系学院 05602-国际关系 物理和化学 05-网络空间安全 2 2 548 11041 545 11777 547 11283 北京
2024 本科提前批 国际关系学院 05601-国际关系 物理和化学 01-人工智能 2 2 534 11234 524 13538 529 12388 北京
2024 本科提前批 国际关系学院 05601-国际关系 物理和化学 02-网络空间安全 2 2 539 10069 523 13763 531 11919 北京
2025 本科普通批 上海师范大学 12307-上海师大 物理和化学 23-数学与应用数学 47 47 551 10254 525 17222 531 15514 上海
2025 本科普通批 上海师范大学 12307-上海师大 物理和化学 24-数学类 31 31 532 15236 521 18317 523 17799 上海
2025 本科普通批 上海师范大学 12307-上海师大 物理和化学 25-物理学(光电信息方向) 16 16 532 15236 521 18317 525 17222 上海
2025 本科普通批 上海师范大学 12307-上海师大 物理和化学 26-物理学(物理电子学方向) 15 15 532 15236 520 18580 524 17497 上海
2025 本科普通批 上海师范大学 12307-上海师大 物理和化学 27-电子信息类 100 100 533 14978 518 19117 521 18317 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 26-生物科学 40 40 529 12388 499 19729 511 16761 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 27-食品安全与检测 15 15 531 11919 500 19486 510 17049 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 28-化学类 50 50 522 14026 494 20956 502 19008 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 29-环境工程 20 20 513 16250 494 20956 501 19243 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 30-资源环境科学 20 20 514 15979 494 20956 499 19729 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 31-园艺 15 15 513 16250 494 20956 500 19486 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 32-数学与应用数学 50 51 549 7975 516 15485 526 13085 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 33-数学类 25 25 524 13538 511 16761 518 15023 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 34-物理学 20 21 536 10760 511 16761 521 14281 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 35-电子信息类 100 101 534 11234 505 18290 515 15734 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 36-汽车服务工程(中外合作办学) 10 10 511 16761 495 20693 500 19486 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 37-土木工程(中外合作办学) 15 15 500 19486 495 20693 497 20203 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 38-电子信息工程(中外合作办学) 10 11 535 10985 506 18067 519 14753 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 39-机械设计制造及其自动化(中外合作办学) 10 10 511 16761 504 18539 508 17567 上海
2024 本科普通批 上海师范大学 12304-上海师大 物理和化学 40-计算机科学与技术(中外合作办学) 10 10 515 15734 504 18539 507 17795 上海
2025 本科提前批 北京电子科技学院 05901-北电科技 物理和化学 01-电子信息工程 1 1 576 4823 576 4823 576 4823 北京
2025 本科提前批 北京电子科技学院 05901-北电科技 物理和化学 02-计算机科学与技术 2 2 578 4467 573 5410 576 4823 北京
2024 本科提前批 北京电子科技学院 05901-北电科技 物理和化学 01-通信工程 2 2 564 5180 555 6832 560 5899 北京
2025 本科普通批 大连海事大学 33201-大连海事 物理和化学 01-数学类 2 2 548 11041 547 11283 548 11041 辽宁
2025 本科普通批 大连海事大学 33201-大连海事 物理和化学 02-机械类 3 3 547 11283 547 11283 547 11283 辽宁
2025 本科普通批 大连海事大学 33201-大连海事 物理和化学 03-电子信息类 3 3 549 10761 547 11283 548 11041 辽宁
2025 本科普通批 大连海事大学 33201-大连海事 物理和化学 04-自动化类 3 3 547 11283 545 11777 546 11525 辽宁
2025 本科普通批 大连海事大学 33201-大连海事 物理和化学 05-计算机类 4 4 545 11777 544 12020 545 11777 辽宁
2025 本科普通批 大连海事大学 33201-大连海事 物理和化学 06-交通运输类 2 2 545 11777 544 12020 545 11777 辽宁
2024 本科普通批 大连海事大学 33201-大连海事 物理和化学 03-电子信息类 3 3 538 10306 537 10538 537 10538 辽宁
2024 本科普通批 大连海事大学 33201-大连海事 物理和化学 04-自动化类 3 3 546 8561 537 10538 540 9848 辽宁
2024 本科普通批 大连海事大学 33201-大连海事 物理和化学 05-计算机类 4 4 541 9624 538 10306 539 10069 辽宁
2024 本科普通批 大连海事大学 33201-大连海事 物理和化学 06-交通运输类 3 3 537 10538 536 10760 536 10760 辽宁
2024 本科普通批 大连海事大学 33201-大连海事 物理和化学 07-环境科学与工程类 2 2 536 10760 536 10760 536 10760 辽宁
2025 本科提前批 上海海关学院 01301-海关学院 不限科目 01-海关稽查 5 5 ≥580 ≤4096 573 5410 577 4649 上海
2025 本科提前批 上海海关学院 01301-海关学院 不限科目 02-海关管理 15 15 ≥580 ≤4096 575 5016 ≥580 ≤4096 上海
2025 本科提前批 上海海关学院 01302-海关学院 物理 03-海关检验检疫安全 5 5 ≥580 ≤4096 568 6379 572 5610 上海
2024 本科提前批 上海海关学院 01301-海关学院 不限科目 01-海关管理 25 25 578 2962 553 7218 564 5180 上海
2024 本科提前批 上海海关学院 01301-海关学院 不限科目 02-海关稽查 6 6 564 5180 552 7412 556 6631 上海
2024 本科提前批 上海海关学院 01302-海关学院 物理 03-海关检验检疫安全 4 4 ≥580 ≤2684 549 7975 557 6458 上海

